#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-rice-name	rice-symbol	rice-defline
37398271	AT1G01190	AT1G01190.1	AT1G01190.1	PF00067	PTHR24298,PTHR24298:SF46	KOG0156	1.14.13.21	K00517	GO:0055114,GO:0020037,GO:0016705,GO:0005506	LOC_Os08g43390.1		cytochrome P450, putative, expressed
37398270	AT1G01190	AT1G01190.2	AT1G01190.2	PF00067	PTHR24298,PTHR24298:SF46	KOG0156	1.14.13.21	K00517	GO:0055114,GO:0020037,GO:0016705,GO:0005506	LOC_Os08g43390.1		cytochrome P450, putative, expressed
37392179	AT1G01200	AT1G01200.1	AT1G01200.1	PF00025	PTHR24073,PTHR24073:SF345	KOG0087			GO:0005525	LOC_Os09g35860.1		ras-related protein, putative, expressed
37401643	AT1G01210	AT1G01210.1	AT1G01210.1	PF02150,PF01096	PTHR11239,PTHR11239:SF12	KOG2906	2.7.7.6	K03019	GO:0006351,GO:0003899,GO:0003677,GO:0008270,GO:0003676	LOC_Os02g45120.2		expressed protein
37401641	AT1G01210	AT1G01210.2	AT1G01210.2	PF02150,PF01096	PTHR11239,PTHR11239:SF12	KOG2906	2.7.7.6	K03019	GO:0006351,GO:0003899,GO:0003677,GO:0008270,GO:0003676	LOC_Os02g45120.2		expressed protein
37401642	AT1G01210	AT1G01210.3	AT1G01210.3	PF02150,PF01096	PTHR11239,PTHR11239:SF12	KOG2906	2.7.7.6	K03019	GO:0006351,GO:0003899,GO:0003677,GO:0008270,GO:0003676	LOC_Os02g45120.2		expressed protein
37396336	AT1G01220	AT1G01220.1	AT1G01220.1	PF08544,PF00288,PF07959	PTHR32463	KOG4644	2.7.7.30,2.7.1.52	K05305	GO:0005524,GO:0016772	LOC_Os03g02410.1		GHMP kinases ATP-binding protein, putative, expressed
37396341	AT1G01220	AT1G01220.2	AT1G01220.2	PF08544,PF00288,PF07959	PTHR32463	KOG4644	2.7.7.30,2.7.1.52		GO:0005524,GO:0016772	LOC_Os03g02410.1		GHMP kinases ATP-binding protein, putative, expressed
37396338	AT1G01220	AT1G01220.3	AT1G01220.3	PF08544,PF00288,PF07959	PTHR32463	KOG4644	2.7.7.30,2.7.1.52		GO:0005524,GO:0016772	LOC_Os03g02410.1		GHMP kinases ATP-binding protein, putative, expressed
37396340	AT1G01220	AT1G01220.4	AT1G01220.4	PF08544,PF00288,PF07959	PTHR32463	KOG4644	2.7.7.30,2.7.1.52		GO:0005524,GO:0016772	LOC_Os03g02410.1		GHMP kinases ATP-binding protein, putative, expressed
37396343	AT1G01220	AT1G01220.5	AT1G01220.5	PF08544,PF00288,PF07959	PTHR32463	KOG4644	2.7.7.30,2.7.1.52		GO:0005524,GO:0016772	LOC_Os03g02410.1		GHMP kinases ATP-binding protein, putative, expressed
37396342	AT1G01220	AT1G01220.6	AT1G01220.6	PF08544,PF00288,PF07959	PTHR32463	KOG4644	2.7.7.30,2.7.1.52		GO:0005524,GO:0016772	LOC_Os03g02410.1		GHMP kinases ATP-binding protein, putative, expressed
37396337	AT1G01220	AT1G01220.7	AT1G01220.7	PF08544,PF00288,PF07959	PTHR32463	KOG4644	2.7.7.30,2.7.1.52	K05305	GO:0005524,GO:0016772	LOC_Os03g02410.1		GHMP kinases ATP-binding protein, putative, expressed
37396339	AT1G01220	AT1G01220.8	AT1G01220.8	PF08544,PF00288,PF07959	PTHR32463	KOG4644	2.7.7.30,2.7.1.52		GO:0005524,GO:0016772	LOC_Os03g02410.1		GHMP kinases ATP-binding protein, putative, expressed
37401512	AT1G01225	AT1G01225.1	AT1G01225.1	PF04970	PTHR13943,PTHR13943:SF32					LOC_Os09g35810.1		NC domain-containing protein, putative, expressed
37392695	AT1G01230	AT1G01230.1	AT1G01230.1	PF04061	PTHR12665,PTHR12665:SF14	KOG3319			GO:0016021,GO:0005789	LOC_Os07g26940.1		ORM1, putative, expressed
37392912	AT1G01240	AT1G01240.1	AT1G01240.1		PTHR33868,PTHR33868:SF2					LOC_Os08g30930.1		expressed protein
37392911	AT1G01240	AT1G01240.2	AT1G01240.2		PTHR33868,PTHR33868:SF2					LOC_Os08g30930.1		expressed protein
37392913	AT1G01240	AT1G01240.3	AT1G01240.3		PTHR33868,PTHR33868:SF2					LOC_Os08g30930.1		expressed protein
37392910	AT1G01240	AT1G01240.4	AT1G01240.4		PTHR33868,PTHR33868:SF2					LOC_Os08g30930.1		expressed protein
37392914	AT1G01240	AT1G01240.5	AT1G01240.5		PTHR33868,PTHR33868:SF2					LOC_Os08g30930.1		expressed protein
37391322	AT1G01250	AT1G01250.1	AT1G01250.1	PF00847	PTHR31985,PTHR31985:SF15			K09286	GO:0006355,GO:0003700	LOC_Os04g46400.1		AP2 domain containing protein, expressed
37393831	AT1G01260	AT1G01260.1	AT1G01260.1	PF00010,PF14215	PTHR11514,PTHR11514:SF47				GO:0046983	LOC_Os01g50940.1		helix-loop-helix DNA-binding domain containing protein, expressed
37393832	AT1G01260	AT1G01260.2	AT1G01260.2	PF00010,PF14215	PTHR11514,PTHR11514:SF47				GO:0046983	LOC_Os01g50940.1		helix-loop-helix DNA-binding domain containing protein, expressed
37393830	AT1G01260	AT1G01260.3	AT1G01260.3	PF00010,PF14215	PTHR11514,PTHR11514:SF47				GO:0046983	LOC_Os01g50940.1		helix-loop-helix DNA-binding domain containing protein, expressed
37395093	AT1G01280	AT1G01280.1	AT1G01280.1	PF00067	PTHR24298,PTHR24298:SF90	KOG0156			GO:0055114,GO:0020037,GO:0016705,GO:0005506	LOC_Os08g03682.1		cytochrome P450, putative, expressed
37393907	AT1G01290	AT1G01290.1	AT1G01290.1	PF01967	PTHR22960	KOG2876	4.1.99.18	K03639	GO:0006777	LOC_Os04g38700.1		molybdopterin biosynthesis protein CNX3, putative, expressed
37393908	AT1G01290	AT1G01290.2	AT1G01290.2	PF01967	PTHR22960	KOG2876	4.1.99.18	K03639	GO:0006777	LOC_Os04g38700.1		molybdopterin biosynthesis protein CNX3, putative, expressed
37392768	AT1G01300	AT1G01300.1	AT1G01300.1	PF00026	PTHR13683,PTHR13683:SF308	KOG1339	3.4.23.12		GO:0006508,GO:0004190	LOC_Os01g41550.1		aspartic proteinase, putative, expressed
37394925	AT1G01305	AT1G01305.1	AT1G01305.1									
37392025	AT1G01310	AT1G01310.1	AT1G01310.1	PF00188	PTHR10334,PTHR10334:SF204					LOC_Os05g51680.2		SCP-like extracellular protein, expressed
37397452	AT1G01320	AT1G01320.1	AT1G01320.1	PF15044,PF12807,PF13424	PTHR12601,PTHR12601:SF17			K03255		LOC_Os07g23990.1		tetratricopeptide repeat domain containing protein, putative, expressed
37397454	AT1G01320	AT1G01320.2	AT1G01320.2	PF15044,PF12807,PF13424	PTHR12601,PTHR12601:SF17			K03255		LOC_Os07g23990.1		tetratricopeptide repeat domain containing protein, putative, expressed
37397453	AT1G01320	AT1G01320.3	AT1G01320.3	PF15044,PF12807,PF13424	PTHR12601,PTHR12601:SF17			K03255		LOC_Os07g23990.1		tetratricopeptide repeat domain containing protein, putative, expressed
37400023	AT1G01335	AT1G01335.1	AT1G01335.1									
37393541	AT1G01340	AT1G01340.1	AT1G01340.1	PF00027,PF00520	PTHR10217,PTHR10217:SF465			K05391	GO:0055085,GO:0016020,GO:0006811,GO:0005216	LOC_Os06g33570.1		cyclic nucleotide-gated ion channel 1, putative, expressed
37393540	AT1G01340	AT1G01340.2	AT1G01340.2	PF00027,PF00520	PTHR10217,PTHR10217:SF465			K05391	GO:0055085,GO:0016020,GO:0006811,GO:0005216	LOC_Os06g33570.1		cyclic nucleotide-gated ion channel 1, putative, expressed
37395052	AT1G01350	AT1G01350.1	AT1G01350.1	PF13920,PF00642	PTHR12930	KOG1813		K13127	GO:0046872	LOC_Os02g19804.1		Zinc finger C-x8-C-x5-C-x3-H type domain containing protein, expressed
37396507	AT1G01355	AT1G01355.1	AT1G01355.1	PF01936	PTHR14379				GO:0010468,GO:0005777	LOC_Os07g44320.1		expressed protein
37396509	AT1G01355	AT1G01355.2	AT1G01355.2									
37396508	AT1G01355	AT1G01355.3	AT1G01355.3		PTHR14379				GO:0010468,GO:0005777	LOC_Os07g44320.1		expressed protein
37397928	AT1G01360	AT1G01360.1	AT1G01360.1	PF10604	PTHR31213,PTHR31213:SF4			K14496		LOC_Os02g15640.1		CAPIP1, putative, expressed
37397258	AT1G01370	AT1G01370.1	AT1G01370.1	PF00125	PTHR11426,PTHR11426:SF46	KOG1745		K11253	GO:0003677,GO:0000786	LOC_Os05g41080.1		histone H3, putative, expressed
37397259	AT1G01370	AT1G01370.2	AT1G01370.2	PF00125	PTHR11426,PTHR11426:SF46	KOG1745		K11253	GO:0003677,GO:0000786	LOC_Os05g41080.1		histone H3, putative, expressed
37397260	AT1G01370	AT1G01370.3	AT1G01370.3	PF00125	PTHR11426,PTHR11426:SF46	KOG1745		K11253	GO:0003677,GO:0000786	LOC_Os05g41080.1		histone H3, putative, expressed
37397261	AT1G01370	AT1G01370.4	AT1G01370.4	PF00125	PTHR11426,PTHR11426:SF46	KOG1745		K11253	GO:0003677,GO:0000786	LOC_Os05g41080.1		histone H3, putative, expressed
37402880	AT1G01380	AT1G01380.1	AT1G01380.1	PF00249	PTHR10641,PTHR10641:SF620			K09422		LOC_Os01g43180.1		MYB family transcription factor, putative, expressed
37402882	AT1G01380	AT1G01380.2	AT1G01380.2									
37402881	AT1G01380	AT1G01380.3	AT1G01380.3									
37402372	AT1G01390	AT1G01390.1	AT1G01390.1	PF00201	PTHR11926,PTHR11926:SF189			K08237	GO:0016758,GO:0008152	LOC_Os11g38650.1		UDP-glucoronosyl/UDP-glucosyl transferase, putative, expressed
37402371	AT1G01390	AT1G01390.2	AT1G01390.2	PF00201	PTHR11926,PTHR11926:SF189			K08237	GO:0016758,GO:0008152	LOC_Os11g38650.1		UDP-glucoronosyl/UDP-glucosyl transferase, putative, expressed
37401270	AT1G01400	AT1G01400.1	AT1G01400.1									
37391883	AT1G01410	AT1G01410.1	AT1G01410.1		PTHR12537	KOG2049				LOC_Os12g30520.1		pumilio-family RNA binding repeat containing protein, expressed
37396144	AT1G01420	AT1G01420.1	AT1G01420.1	PF00201	PTHR11926,PTHR11926:SF189			K08237	GO:0016758,GO:0008152	LOC_Os11g38650.1		UDP-glucoronosyl/UDP-glucosyl transferase, putative, expressed
37396143	AT1G01420	AT1G01420.2	AT1G01420.2	PF00201	PTHR11926,PTHR11926:SF189			K08237	GO:0016758,GO:0008152	LOC_Os11g38650.1		UDP-glucoronosyl/UDP-glucosyl transferase, putative, expressed
37395172	AT1G01430	AT1G01430.1	AT1G01430.1	PF14416,PF13839	PTHR32285,PTHR32285:SF9					LOC_Os05g12380.1		expressed protein
37396227	AT1G01440	AT1G01440.1	AT1G01440.1	PF11331	PTHR31105,PTHR31105:SF3					LOC_Os01g43330.1		extra-large G-protein-related, putative, expressed
37402060	AT1G01450	AT1G01450.1	AT1G01450.1	PF07714	PTHR23257,PTHR23257:SF530	KOG0192	2.7.10.2		GO:0006468,GO:0004672	LOC_Os01g43350.1		protein kinase family protein, putative, expressed
37403390	AT1G01453	AT1G01453.1	AT1G01453.1		PTHR31234,PTHR31234:SF12					LOC_Os01g39290.1		harpin-induced protein 1 domain containing protein, expressed
37403389	AT1G01453	AT1G01453.2	AT1G01453.2		PTHR31234,PTHR31234:SF12					LOC_Os01g39290.1		harpin-induced protein 1 domain containing protein, expressed
37391615	AT1G01460	AT1G01460.1	AT1G01460.1	PF01504	PTHR23086,PTHR23086:SF33	KOG0229	2.7.1.68	K00889	GO:0046488,GO:0016307	LOC_Os03g49800.1		phosphatidylinositol-4-phosphate 5-kinase, putative, expressed
37392418	AT1G01470	AT1G01470.1	AT1G01470.1	PF03168	PTHR31459					LOC_Os01g12580.1		late embryogenesis abundant protein, putative, expressed
37399509	AT1G01480	AT1G01480.1	AT1G01480.1	PF00155	PTHR11751,PTHR11751:SF380		4.4.1.14	K01762	GO:0030170,GO:0009058	LOC_Os04g48850.1		aminotransferase, classes I and II, domain containing protein, expressed
37399510	AT1G01480	AT1G01480.2	AT1G01480.2	PF00155	PTHR11751,PTHR11751:SF380	KOG0259,KOG0257	4.4.1.14		GO:0030170,GO:0009058	LOC_Os04g48850.1		aminotransferase, classes I and II, domain containing protein, expressed
37400150	AT1G01490	AT1G01490.1	AT1G01490.1	PF00403	PTHR22814,PTHR22814:SF131	KOG1603			GO:0046872,GO:0030001	LOC_Os10g38870.1		heavy metal-associated domain containing protein, expressed
37400149	AT1G01490	AT1G01490.2	AT1G01490.2	PF00403	PTHR22814,PTHR22814:SF131	KOG1603			GO:0046872,GO:0030001	LOC_Os10g38870.1		heavy metal-associated domain containing protein, expressed
37400151	AT1G01490	AT1G01490.3	AT1G01490.3		PTHR22814,PTHR22814:SF131					LOC_Os10g38870.1		heavy metal-associated domain containing protein, expressed
37400148	AT1G01490	AT1G01490.4	AT1G01490.4	PF00403	PTHR22814,PTHR22814:SF131	KOG1603			GO:0046872,GO:0030001	LOC_Os10g38870.1		heavy metal-associated domain containing protein, expressed
37391752	AT1G01500	AT1G01500.1	AT1G01500.1		PTHR10996,PTHR10996:SF166					LOC_Os03g56420.1		expressed protein
37391698	AT1G01510	AT1G01510.1	AT1G01510.1	PF02826	PTHR10996,PTHR10996:SF134	KOG0067	1.1.1.29		GO:0055114,GO:0051287	LOC_Os10g38900.1		erythronate-4-phosphate dehydrogenase, putative, expressed
37398490	AT1G01520	AT1G01520.1	AT1G01520.1	PF00249	PTHR12802,PTHR12802:SF49	KOG0724				LOC_Os02g45670.1		myb-like DNA-binding domain containing protein, expressed
37398492	AT1G01520	AT1G01520.2	AT1G01520.2	PF00249	PTHR12802,PTHR12802:SF49	KOG0724				LOC_Os02g45670.1		myb-like DNA-binding domain containing protein, expressed
37398489	AT1G01520	AT1G01520.3	AT1G01520.3	PF00249	PTHR12802,PTHR12802:SF49	KOG0724				LOC_Os02g45670.1		myb-like DNA-binding domain containing protein, expressed
37398491	AT1G01520	AT1G01520.4	AT1G01520.4	PF00249	PTHR12802,PTHR12802:SF49	KOG0724				LOC_Os02g45670.1		myb-like DNA-binding domain containing protein, expressed
37398493	AT1G01520	AT1G01520.5	AT1G01520.5		PTHR12802,PTHR12802:SF49					LOC_Os02g45670.1		myb-like DNA-binding domain containing protein, expressed
37399201	AT1G01530	AT1G01530.1	AT1G01530.1	PF00319	PTHR11945,PTHR11945:SF230	KOG0014			GO:0046983,GO:0003677	LOC_Os09g02830.1		OsMADS78 - MADS-box family gene with M-alpha type-box, expressed
37401504	AT1G01540	AT1G01540.1	AT1G01540.1	PF00069	PTHR27001,PTHR27001:SF156	KOG1187	2.7.11.1		GO:0006468,GO:0005524,GO:0004672	LOC_Os03g03410.1		serine/threonine-protein kinase, putative, expressed
37401503	AT1G01540	AT1G01540.2	AT1G01540.2	PF00069	PTHR27001,PTHR27001:SF156	KOG1187	2.7.11.1		GO:0006468,GO:0005524,GO:0004672	LOC_Os03g03410.1		serine/threonine-protein kinase, putative, expressed
37396411	AT1G01550	AT1G01550.1	AT1G01550.1	PF03087	PTHR31509,PTHR31509:SF3					LOC_Os10g36950.1		DUF677 domain containing protein, putative, expressed
37396412	AT1G01550	AT1G01550.2	AT1G01550.2	PF03087	PTHR31509,PTHR31509:SF3					LOC_Os10g36950.1		DUF677 domain containing protein, putative, expressed
37403601	AT1G01560	AT1G01560.1	AT1G01560.1	PF00069	PTHR24055,PTHR24055:SF227	KOG0662	2.7.11.24		GO:0006468,GO:0005524,GO:0004672	LOC_Os08g06060.1		CGMC_MAPKCMGC_2_ERK.13 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed
37403599	AT1G01560	AT1G01560.2	AT1G01560.2	PF00069	PTHR24055,PTHR24055:SF227		2.7.11.24	K04371	GO:0006468,GO:0005524,GO:0004672	LOC_Os08g06060.1		CGMC_MAPKCMGC_2_ERK.13 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed
37403600	AT1G01560	AT1G01560.3	AT1G01560.3	PF00069	PTHR24055,PTHR24055:SF227	KOG0660	2.7.11.24		GO:0006468,GO:0005524,GO:0004672	LOC_Os08g06060.1		CGMC_MAPKCMGC_2_ERK.13 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed
37403602	AT1G01560	AT1G01560.4	AT1G01560.4	PF00069	PTHR24055,PTHR24055:SF227	KOG0662	2.7.11.24		GO:0006468,GO:0005524,GO:0004672	LOC_Os08g06060.1		CGMC_MAPKCMGC_2_ERK.13 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed
37396886	AT1G01570	AT1G01570.1	AT1G01570.1	PF02434	PTHR10811,PTHR10811:SF17	KOG2246	2.4.1.222		GO:0016757,GO:0016020	LOC_Os04g48950.1		fringe-related protein, putative, expressed
37396885	AT1G01570	AT1G01570.2	AT1G01570.2	PF02434	PTHR10811,PTHR10811:SF17	KOG2246	2.4.1.222		GO:0016757,GO:0016020	LOC_Os04g48950.1		fringe-related protein, putative, expressed
37391763	AT1G01580	AT1G01580.1	AT1G01580.1	PF00175,PF01794,PF08022	PTHR11972,PTHR11972:SF41	KOG0039	1.16.1.7		GO:0055114,GO:0016491	LOC_Os04g48930.4		ferric-chelate reductase, putative, expressed
37391762	AT1G01580	AT1G01580.2	AT1G01580.2	PF00175,PF01794,PF08022	PTHR11972,PTHR11972:SF41	KOG0039	1.16.1.7		GO:0055114,GO:0016491	LOC_Os04g48930.4		ferric-chelate reductase, putative, expressed
37393421	AT1G01590	AT1G01590.1	AT1G01590.1	PF01794,PF08022,PF08030	PTHR11972,PTHR11972:SF41	KOG0039	1.16.1.7		GO:0055114,GO:0016491	LOC_Os04g48930.4		ferric-chelate reductase, putative, expressed
37394939	AT1G01600	AT1G01600.1	AT1G01600.1	PF00067	PTHR24296,PTHR24296:SF9	KOG0157	1.14.14.1	K15398	GO:0055114,GO:0020037,GO:0016705,GO:0005506	LOC_Os02g44654.2		cytochrome P450, putative, expressed
37401034	AT1G01610	AT1G01610.1	AT1G01610.1	PF01553	PTHR15486,PTHR15486:SF27		2.3.1.198,2.3.1.15	K13508	GO:0016746,GO:0008152	LOC_Os01g63580.1		glycerol-3-phosphate acyltransferase, putative, expressed
37393905	AT1G01620	AT1G01620.1	AT1G01620.1	PF00230	PTHR19139,PTHR19139:SF169	KOG0223		K09872	GO:0016020,GO:0006810,GO:0005215	LOC_Os04g47220.1		aquaporin protein, putative, expressed
37393906	AT1G01620	AT1G01620.2	AT1G01620.2	PF00230	PTHR19139,PTHR19139:SF90	KOG0223		K09872	GO:0016020,GO:0006810,GO:0005215	LOC_Os04g47220.1		aquaporin protein, putative, expressed
37396264	AT1G01630	AT1G01630.1	AT1G01630.1	PF13716	PTHR10174,PTHR10174:SF145	KOG1470				LOC_Os03g63370.1		CRAL/TRIO domain containing protein, expressed
